console_display,full_title,hymn_key,total_search_results,tune_title,tune_slug,is_relevant,vote_count,total_runs,confidence,reasoning,composer,meter,key,num_hymnals,midi_url,recording_url,pdf_url,hymnary_url,normalized_title,in_hymn_book
AMightyFortress,A Mighty Fortress,a_mighty_fortress,10,AUSTRIAN HYMN,austrian_hymn_haydn,False,0,3,high,"The tune’s associated texts and primary pairing are “Glorious Things of Thee Are Spoken” / “Not Alone for Mighty Empire,” not “A Mighty Fortress.” The meter (8.7.8.7 D) also does not match the distinctive meter of EIN FESTE BURG used for this hymn.",Joseph Haydn (1797),8.7.8.7 D,E♭ Major,803,https://hymnary.org/media/fetch/80374,https://hymnary.org/media/fetch/222441,https://hymnary.org/media/fetch/80375,https://hymnary.org/tune/austrian_hymn_haydn,AUSTRIANHYMN,False
AMightyFortress,A Mighty Fortress,a_mighty_fortress,10,EIN FESTE BURG,ein_feste_burg_luther,True,3,3,high,"This is the classic and standard tune for “A Mighty Fortress Is Our God”; the search card explicitly says it is used with that text, and the associated texts/percentages directly name “A Mighty Fortress” (56.3%).",Martin Luther (1529),8.7.8.7.6.6.6.6.7,C Major/D Major,743,https://hymnary.org/media/fetch/80063,https://hymnary.org/media/fetch/222239,https://hymnary.org/media/fetch/80064,https://hymnary.org/tune/ein_feste_burg_luther,EINFESTEBURG,True
AMightyFortress,A Mighty Fortress,a_mighty_fortress,10,HYFRYDOL,hyfrydol_prichard,False,0,3,high,"HYFRYDOL is chiefly associated with texts like “Alleluia! Sing to Jesus” and “Come, Thou Long Expected Jesus,” and the search card points to “Not alone for mighty empire,” not Luther’s hymn. Its 8.7.8.7 D meter does not fit “A Mighty Fortress” in its usual form.",Rowland H. Prichard (1830),8.7.8.7 D,A♭ Major,646,https://hymnary.org/media/fetch/79990,https://hymnary.org/media/fetch/222245,https://hymnary.org/media/fetch/79991,https://hymnary.org/tune/hyfrydol_prichard,HYFRYDOL,True
AMightyFortress,A Mighty Fortress,a_mighty_fortress,10,BATTLE HYMN OF THE REPUBLIC,battle_hymn_of_the_republic_american,False,0,3,high,The tune is overwhelmingly tied to “Battle Hymn of the Republic” (68.2%) and the search card shows a different text (“A Mighty League of Prayer”). Its 15.15.15.6 with refrain is incompatible with “A Mighty Fortress.”,,15.15.15.6 with refrain,B♭ Major,514,https://hymnary.org/media/fetch/81270,https://hymnary.org/media/fetch/222853,https://hymnary.org/media/fetch/81271,https://hymnary.org/tune/battle_hymn_of_the_republic_american,BATTLEHYMNOFTHEREPUBLIC,False
AMightyFortress,A Mighty Fortress,a_mighty_fortress,10,NOTTINGHAM (Mozart),nottingham_mozart,False,0,3,high,"NOTTINGHAM is associated with texts such as “Take My Life, and Let It Be” and the search card lists “O Lord Most High, with All My Heart,” not “A Mighty Fortress.” The 7.7.7.7 meter also does not align with the standard “A Mighty Fortress” tune/meter.",Wenzel Müller,7.7.7.7,F Major,236,https://hymnary.org/media/fetch/81294,https://hymnary.org/media/fetch/221506,https://hymnary.org/media/fetch/81295,https://hymnary.org/tune/nottingham_mozart,NOTTINGHAMMOZART,False
AbidewithMe,Abide with Me,abide_with_me,10,RATHBUN,rathbun_conkey,False,0,3,high,RATHBUN is overwhelmingly associated with the text “In the Cross of Christ I Glory” (74.7%) and the search card explicitly lists that as its primary text. No evidence here connects it to “Abide with Me.”,Ithamar Conkey (1851),8.7.8.7,B♭ Major,905,https://hymnary.org/media/fetch/80156,https://hymnary.org/media/fetch/199114,https://hymnary.org/media/fetch/80157,https://hymnary.org/tune/rathbun_conkey,RATHBUN,False
AbidewithMe,Abide with Me,abide_with_me,10,HE LEADETH ME (Bradbury),he_leadeth_me_bradbury,False,0,3,high,This tune is the standard setting for “He Leadeth Me: O Blessed Thought!” (88.4%) and is identified that way on the search card and in associated texts. It is not a known tune for “Abide with Me.”,William B. Bradbury (1864),8.8.8.8 D,D Major,728,https://hymnary.org/media/fetch/80554,https://hymnary.org/media/fetch/222237,https://hymnary.org/media/fetch/80555,https://hymnary.org/tune/he_leadeth_me_bradbury,HELEADETHMEBRADBURY,False
AbidewithMe,Abide with Me,abide_with_me,10,PASSION CHORALE (Hassler),passion_chorale_hassler,False,0,3,high,"PASSION CHORALE (HERZLICH TUT MICH VERLANGEN) is chiefly used with “O Sacred Head, Now Wounded” and related Passion texts; the search card and associated texts confirm that. It is not a genuine setting for “Abide with Me.”",Hans Leo Hassler (1601),7.6.7.6 D,a minor,598,https://hymnary.org/media/fetch/80244,https://hymnary.org/media/fetch/222220,https://hymnary.org/media/fetch/80245,https://hymnary.org/tune/passion_chorale_hassler,PASSIONCHORALEHASSLER,False
AbidewithMe,Abide with Me,abide_with_me,10,TRUST AND OBEY,trust_and_obey_towner,False,0,3,high,TRUST AND OBEY is strongly tied to the gospel hymn “Trust and Obey” (89.1%) per the search card and associated texts. There is no indication it is used for “Abide with Me.”,D. B. Towner (1887),6.6.9 D with refrain,F Major or modal,420,https://hymnary.org/media/fetch/81020,https://hymnary.org/media/fetch/222514,https://hymnary.org/media/fetch/81021,https://hymnary.org/tune/trust_and_obey_towner,TRUSTANDOBEY,True
AbidewithMe,Abide with Me,abide_with_me,10,PUER NOBIS NASCITUR,puer_nobis_nascitur_praetorius,False,0,3,high,"PUER NOBIS NASCITUR is associated with texts like “That Easter Day with Joy Was Bright” and “What Star Is This,” not “Abide with Me.” The search card and associated texts show unrelated primary usage.",,8.8.8.8,D Major,239,https://hymnary.org/media/fetch/81997,https://hymnary.org/media/fetch/222210,https://hymnary.org/media/fetch/81998,https://hymnary.org/tune/puer_nobis_nascitur_praetorius,PUERNOBISNASCITUR,False
AhHoly Jesus,Ah! Holy Jesus,ah_holy_jesus,10,FLEMMING,flemming_flemming,True,3,3,high,"The search card explicitly lists this tune as used with the text “Ah, holy Jesus, how have you offended,” which is the hymn in question. Despite Hymnary’s associated-text percentages highlighting other pairings, this is a known setting and the direct ‘used_with_text’ evidence is decisive.",F. F. Flemming (1811),11.11.11.5,A♭ Major/B♭ Major,477,https://hymnary.org/media/fetch/81683,https://hymnary.org/media/fetch/180303,https://hymnary.org/media/fetch/81684,https://hymnary.org/tune/flemming_flemming,FLEMMING,False
AhHoly Jesus,Ah! Holy Jesus,ah_holy_jesus,10,REFUGE (Holbrook),refuge_holbrook,False,0,3,high,"Hymnary shows this tune is overwhelmingly used with “Jesus, Lover of My Soul” (89.4%) and the search card’s primary association is “Refuge,” not “Ah! Holy Jesus.” This is a title-search false positive rather than a genuine setting.",Joseph P. Holbrook (1862),7.7.7.7 D,D♭ Major,347,https://hymnary.org/media/fetch/153921,https://hymnary.org/media/fetch/188935,https://hymnary.org/media/fetch/188934,https://hymnary.org/tune/refuge_holbrook,REFUGEHOLBROOK,False
AhHoly Jesus,Ah! Holy Jesus,ah_holy_jesus,10,VOM HIMMEL HOCH,vom_himmel_hoch_luther,False,0,3,high,"VOM HIMMEL HOCH is the standard tune for “From Heaven Above to Earth I Come,” and the search card associates it with “Ah, dearest Jesus, holy child” (a different hymn/text). No evidence here links it to “Ah! Holy Jesus, how have you offended.”",Martin Luther (1535),8.8.8.8,C Major,312,https://hymnary.org/media/fetch/82754,https://hymnary.org/media/fetch/199474,https://hymnary.org/media/fetch/82755,https://hymnary.org/tune/vom_himmel_hoch_luther,VOMHIMMELHOCH,False
